codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2507,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (TRIBUNA BAJA-GOL),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2508,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (TRIBUNA BAJA-MARCADOR),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2509,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (TRIBUNA ALTA-GOL),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2510,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (grada de MARCADOR),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2511,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (grada RIO BAJO - Marcador)),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2512,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (grada RIO ALTO - Marcador)),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2513,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (grada RIO ALTO - Gol),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2514,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (ESTADIO ABANCA),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2515,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (ESTADIO ABANCA),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2516,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (ESTADIO ABANCA),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
2521,Concello de Nigrán,CEIP Da Cruz,NIGRAN,PONTEVEDRA,42.1531,-8.7868,En centros docentes
2522,Concello de Nigrán,CEIP Carlos Casares,NIGRAN,PONTEVEDRA,42.1177,-8.7926,En centros docentes
2523,Concello de Nigrán,CEIP Humberto Juanes,NIGRAN,PONTEVEDRA,42.1406,-8.8095,En centros docentes
2524,Concello de Nigrán,CEIP Mallón,NIGRAN,PONTEVEDRA,42.1257,-8.8126,En centros docentes
2525,Concello de Nigrán,Escola Infantil Galiña azul,NIGRAN,PONTEVEDRA,42.1394,-8.8124,En centros docentes
2526,Concello de Nigrán,Escola Infantil As dunas,NIGRAN,PONTEVEDRA,42.1435,-8.8203,En centros docentes
2527,Concello de Nigrán,Campo de fútbol de Condomínguez,NIGRAN,PONTEVEDRA,42.1524,-8.7975,En instalaciones deportivas
2528,Concello de Nigrán,Campo de fútbol de San Pedro de Vilariño,NIGRAN,PONTEVEDRA,42.1196,-8.802,En instalaciones deportivas
2536,Centro de Visitantes Parque Nacional de las Islas Atlánticas de Galicia,Centro de Visitantes Parque Islas Atlánticas (primera planta),VIGO,PONTEVEDRA,42.2391,-8.7255,Administraciones o instituciones públicas
2537,Centro de Visitantes Parque Nacional de las Islas Atlánticas de Galicia,Centro de Interpretación ISLAS CÍES,VIGO,PONTEVEDRA,42.2187,-8.9042,En playa
2538,Centro de Visitantes Parque Nacional de las Islas Atlánticas de Galicia,Puesto sanitario ISLAS ONS,BUEU,PONTEVEDRA,42.3758,-8.933,En playa
2539,Centro de Visitantes Parque Nacional de las Islas Atlánticas de Galicia,Caseta de vigilancia e información ISLA de CORTEGADA,VILAGARCIA DE AROUSA,PONTEVEDRA,42.6152,-8.7855,En playa
2542,BORGWAGNER EMISSIONS SYSTEMS SPAIN S.L.,BORGWAGNER EMISSIONS SYSTEMS SPAIN S. L.,VIGO,PONTEVEDRA,42.1567,-8.7145,En empresa privada
